Cc1c(CCc2nc3ccccc3s2)cccc1OCC(C)C
N=C(N)NC(=O)Cn1c(-c2cccc(F)c2)ccc1-c1ccc2ccccc2c1
CN1CCN(Cc2ccc(-c3cn4c5nc(ncc35)NCCCCCC(O)CCCCC4)cc2)CC1
COc1cc(OC)c(OC)cc1CNC(=O)c1cc(S(=O)(=O)N(C)c2ccccc2OC)ccc1C
CC1=C(C)CC(c2ccccc2)C(C(=O)c2ccccc2O)C1
COc1ccc([C@@H](CO)Nc2ncnc3c2CN(c2ccc(Cl)cn2)CC3)cn1
CO[C@@H]1CN(c2cccc(-c3cccc(C)c3OCc3ccc4c(c3)CCN(C3CCOCC3)C4)n2)CC[C@@H]1C(=O)O
Cc1ccc(N=C(S)N(CCN(C)C)C(C)c2cccnc2)cc1
COc1ccc(OC)c2sc(NNC(=O)C3COc4ccccc4O3)nc12
C=C[C@@](C)(CC/C=C(\C)CC[C@]1(C)C(C=O)=CCC[C@H]1C)S(=O)(=O)CCNC(=N)N
COc1ccc(C(=O)c2sc(Nc3ccccc3)nc2N)cc1
O=C1Nc2cc(F)ccc2/C1=C1Nc2ccccc2C/1=N\O
CCOC(=O)Cc1n[nH]c2c1C(c1ccoc1)C(C#N)=C(N)O2
N#CC1(c2ccc(-c3ccc4c(c3)C(=O)N(Cc3ncccn3)CCO4)cc2)CCCC1
O=S(=O)(c1ccc2nc(NC3CCCCC3)ccc2c1)N1CCCC1
Cc1ncc(-c2nc(C(F)(F)F)sc2N2CCN(C(=O)Cn3cnc4cccnc43)[C@H](C)C2)cn1
Cn1c2c(c3ccc(-n4ccc(OCc5ccc(Cl)cc5Cl)cc4=O)nc31)CNCC2
Oc1ccc([C@@]2(Cn3ccnc3)OC[C@H](Cn3cc(C4CC4)nn3)O2)c(F)c1
CN1CCN(C2CN(CCC3(c4ccc(Cl)c(Cl)c4)CCC(=O)N(Cc4ccccc4)C3)C2)CC1
CN(C)CCn1ccc2c(OCc3ccccc3)cccc21.O=C(O)/C=C/C(=O)O
Cc1nn(-c2ccccc2)c(C)c1NC(=O)COC(=O)Cc1c(C)n(C)c2ccccc12
Cc1ccc(C(C)(C)C)c(OCCN2CCCC2)c1
c1ccc(CCCCNCCc2c[nH]cn2)cc1
CC[C@]1(C)C(=O)N(C(=O)NCc2ccccc2)[C@H]1Oc1ccc(C(=O)O)cc1
O=C(Nc1nc2ccccc2s1)N(CCO)C1CC1
COc1ccc(S(=O)(=O)N[C@H]2CC[C@H](Oc3ncc(F)cn3)CC2)cc1
Cc1ccc2c(c1)/C(=N/O)C(=O)N2CCOCCOc1ccc2c(C)cc(=O)oc2c1
Nc1nc2ccc(Cl)cc2n2c(=O)c(-c3ccccc3)nn12
NCCOc1cccc(C=C2c3ccccc3-c3ccc([N+](=O)[O-])cc32)c1
COc1cc(OC)cc(N(C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1
CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](COS(=O)(=O)O)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CCC(=O)O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](COS(=O)(=O)O)C(=O)N[C@@H](COS(=O)(=O)O)C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@@H](COS(=O)(=O)O)C(=O)O)C1CCCCC1
CC(C)(C)c1ccc(C(=O)N2CCC3(CC2)C(=O)N(CC(=O)N2CCCCC2)CN3c2ccccc2)cc1
COc1ccc2cc(C3=NCCc4cc(Cl)c(O)cc4N3)ccc2c1
O=C(/C=C\n1cnc(-c2cccc(Cl)c2)n1)OC1CCOC1
Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(c3ccc(C(N)=O)cc3)CC2)nc2c1COC2
ClCCCn1nnc(-c2ccccc2Cl)n1
COc1cc(S(=O)(=O)/C=C/c2ccccc2)cc(OC)c1OC
CCOC(=O)c1ncn2c1c(CO)c(-c1ccccc1)c1ccccc12
COCCN1C[C@H](C(C)C)N(c2ccn3ncc(-c4ccc(-c5ncc[nH]5)cc4)c3n2)C1=O
CCCC[C@]1(OC)NC(=O)[C@@H]2O[C@@H]21
COc1ccc(CCCCN2CCN(Cc3cc4ccccc4o3)CC2)cc1
CN(C)S(=O)(=O)c1ccc(N2C[C@H](CNC(=O)c3ccc(Cl)s3)OC2=O)cc1Cl
COc1ccc2cc(C(C)C(=O)NN3C(=O)c4ccccc4C3=O)ccc2c1
COc1ccc(C(=N)N)cc1-c1cn(-c2ccc(C(=N)N)cc2)nn1.Cl.Cl
CCC(=O)N1c2ccccc2SC1c1cc(OC)ccc1OCCCCN1CCN(CCc2cc(OC)c(OC)c(OC)c2)CC1
Cc1ccc(C(C)C)c(Oc2ccc3nc(N)nc(N)c3c2)c1
CCNC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
COCc1nn(Cc2ccc(Cn3ccccc3=O)cc2)cc1C(=O)NCc1c(OC)ccc(OC)c1F
CS(=O)(=O)c1ccc(-c2ccc(C[C@@H](C#N)NC(=O)[C@H]3N[C@H]4C[C@@H]3[C@@H]3C[C@@H]34)c(F)c2)cc1
CN(C)c1ccc([C@H]2c3sc(=O)[nH]c3SC[C@]23CC(=O)N(c2ccc(Cl)cc2)C3=O)cc1
Cc1ccsc1C(=O)OCC(=O)c1ccc[nH]1
CCCCCCCCCCCCCCCCNc1nc(O)nc(O)c1N
